# 548 tests pass on cog but not on sunit-2026-04-20-jit-nojit
# columns: status	class	selector
error	DiskFileSystemTest	testBinaryReadStream
error	DiskFileSystemTest	testBinaryReadStreamDo
error	DiskFileSystemTest	testBinaryReadStreamDoIfAbsent
error	DiskFileSystemTest	testBinaryReadStreamIfAbsent
error	DiskFileSystemTest	testChildrenAt
error	DiskFileSystemTest	testChildrenSorting
error	DiskFileSystemTest	testChildrenSortingRoot
error	DiskFileSystemTest	testCopy
error	DiskFileSystemTest	testCopyAndDelete
error	DiskFileSystemTest	testCopyDestExists
error	DiskFileSystemTest	testCopyFileLocator
error	DiskFileSystemTest	testCopySourceDoesntExist
error	DiskFileSystemTest	testCopyWithCorrectBasename
error	DiskFileSystemTest	testCreateDirectory
error	DiskFileSystemTest	testCreateDirectoryExists
error	DiskFileSystemTest	testCreateDirectoryNoParent
error	DiskFileSystemTest	testCreateDirectoryNotCreateParent
error	DiskFileSystemTest	testCreateFile
error	DiskFileSystemTest	testCreateFileNotCreateParent
error	DiskFileSystemTest	testDefaultWorkingDirectory
error	DiskFileSystemTest	testDelete
error	DiskFileSystemTest	testDelimiter
error	DiskFileSystemTest	testDirectory
error	DiskFileSystemTest	testDirectoryEntrySizeForDirectory
error	DiskFileSystemTest	testDirectoryEntrySizeForFile
error	DiskFileSystemTest	testEnsureDirectory
error	DiskFileSystemTest	testEnsureDirectoryCreatesParent
error	DiskFileSystemTest	testEnsureDirectoryExists
error	DiskFileSystemTest	testEntriesAt
error	DiskFileSystemTest	testEntriesHaveAttributes
error	DiskFileSystemTest	testEntryAt
error	DiskFileSystemTest	testEqual
error	DiskFileSystemTest	testFile
error	DiskFileSystemTest	testFileNames
error	DiskFileSystemTest	testIsDirectory
error	DiskFileSystemTest	testIsDiskFileSystem
error	DiskFileSystemTest	testLongFilename
error	DiskFileSystemTest	testMoveMemoryToDisk
error	DiskFileSystemTest	testMoveTo
error	DiskFileSystemTest	testMoveToFailingExistingDestination
error	DiskFileSystemTest	testMoveToFailingMissingDestination
error	DiskFileSystemTest	testMoveToFailingMissingSource
error	DiskFileSystemTest	testNonExistentEntryAt
error	DiskFileSystemTest	testNonExistentFileSize
error	DiskFileSystemTest	testReadStream
error	DiskFileSystemTest	testReadStreamDo
error	DiskFileSystemTest	testReadStreamDoIfAbsent
error	DiskFileSystemTest	testReadStreamIfAbsent
error	DiskFileSystemTest	testReadingAfterWriting
error	DiskFileSystemTest	testReferenceTo
error	DiskFileSystemTest	testRoot
error	DiskFileSystemTest	testRootExists
error	DiskFileSystemTest	testRootIsDirectory
error	DiskFileSystemTest	testRootIsNotAFile
error	DiskFileSystemTest	testWorking
error	DiskFileSystemTest	testWriteStream
error	DiskFileSystemTest	testWriteStreamDo
error	DiskFileSystemTest	testWriteStreamDoIfPresent
error	DiskFileSystemTest	testWriteStreamIfPresent
error	DrTestsTestRunnerTest	testReRunResultIsDTTestRunnerResult
error	DrTestsTestRunnerTest	testRunResultBuildTreeForUI
error	DrTestsTestRunnerTest	testRunResultIsDTTestRunnerResult
error	DrTestsTestRunnerTest	testTestResultIsNotEmpty
error	DrTestsTestRunnerUITest	testRunTestsUpdatesUIWithResults
error	DrTestsUITest	testClickButtonRunCallsPluginRun
error	DrTestsUITest	testCurrentPluginIsSelectedInDropDown
error	DrTestsUITest	testInitialPackagesAreInitialPluginPackages
error	DrTestsUITest	testInitialResultListIsEmpty
error	DrTestsUITest	testInitialSelectedPluginIsFirstPluginInList
error	DrTestsUITest	testInitialStatusIsInitialStatusPluginName
error	DrTestsUITest	testInitialWindowTitleIsInitialPluginWindowTitle
error	DrTestsUITest	testMultipleSelectingPackagesWillUpdateTheClassesList
error	DrTestsUITest	testNoPackageSelected
error	DrTestsUITest	testPluginsAreConfiguredPluginsOnly
error	DrTestsUITest	testSelectingPackageWillUpdateTheClassesList
