label	load	cog_RESULT	jit_RESULT	jit_only_fails
punt-labs-postern	ok	RESULT pass=85 fail=1 err=2 timeout=0 classes=8	RESULT pass=85 fail=1 err=2 timeout=0 classes=8[IMAGE] RESULT pass=85 fail=1 err=2 timeout=0 classes=8	0
opensmock-iconography	ok	-	-	0
stefankrecher-pharocodex	ok	RESULT pass=11 fail=0 err=5 timeout=0 classes=4	RESULT pass=11 fail=0 err=5 timeout=0 classes=4[IMAGE] RESULT pass=11 fail=0 err=5 timeout=0 classes=4	0
rko281-porpoise	ok	RESULT pass=14 fail=0 err=0 timeout=0 classes=3	RESULT pass=14 fail=0 err=0 timeout=0 classes=3[IMAGE] RESULT pass=14 fail=0 err=0 timeout=0 classes=3	0
evref-bl-pharo-llmapi	ok	RESULT pass=4 fail=0 err=0 timeout=0 classes=2	RESULT pass=4 fail=0 err=0 timeout=0 classes=2[IMAGE] RESULT pass=4 fail=0 err=0 timeout=0 classes=2	0
pharo-spec-newtools	ok	-	-	0
fedeloch-ume	ok	RESULT pass=11 fail=0 err=0 timeout=0 classes=4	-	0
pharo-graphics-alexandrie	ok	-	-	0
pharo-llm-pharo-llmstudio	ok	-	-	0
pharo-graphics-pharo-sdl-experiments	ok	-	-	0
